1,一,"* As a primitive element, the key-word meaning is discarded, and the single horizontal stroke takes on the meaning of <i>floor</i> or <i>ceiling</i>, depending on its position: if it stands above another primitive, it means <i>ceiling</i>; if below, <i>floor</i>.","One down, 2041 to go. ;).","To learn this one kanji, I recommend (#2000) this story : Bambi is in a cave, eating a side-dish of salad when trying to learn the kanjis. As he succeed to learn the kanji for ""one"", you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire (so you remove the key-words Bambi, slingshot and fire from recommend). So that when the police arrives, the only remaining clue is a single horizontal bar.",イチ、イツ,ひと-、ひと.つ,"一々(いちいち): one by one, separately<br>一概に(いちがいに): unconditionally, as a rule<br>一言(いちげん): single word<br>一見(いちげん): unfamiliar, never before met<br>一日(いちじつ): one day, first of month<br>一定(いちじょう): fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed<br>一同(いちどう): all present, all concerned, all of us<br>一人(いちにん): one person<br>一部(いちぶ): one copy e.g. of a document, a part, partly, some<br>一部分(いちぶぶん): a part<br>一別(いちべつ): parting<br>一面(いちめん): one side, one phase, front page, the other hand, the whole surface<br>一目(いちもく): a glance, a look, a glimpse<br>一様(いちよう): uniformity, evenness, similarity, equality, impartiality<br>一律(いちりつ): evenness, uniformity, monotony, equality<br>一連(いちれん): a series, a chain, a ream (of paper)<br>一括(いっかつ): all together, batch, one lump, one bundle, summing up<br>一気(いっき): drink!(said repeatedly as a party cheer)<br>一挙に(いっきょに): at a stroke, with a single swoop<br>一切(いっさい): all, everything, without exception, the whole, entirely, absolutely<br>一心(いっしん): one mind, wholeheartedness, the whole heart<br>一帯(いったい): a region, a zone, the whole place<br>一敗(いっぱい): one defeat<br>一変(いっぺん): complete change, about-face<br>一昨日(おととい): day before yesterday<br>一昨年(おととし): year before last<br>一昨昨日(さきおととい): two days before yesterday<br>第一(だいいち): first, foremost, # 1<br>単一(たんいつ): single, simple, sole, individual, unitory<br>一寸(ちょっと): (ateji) (adv int) (uk) just a minute, a short time, a while, just a little, somewhat, easily, readily, rather<br>一向(ひたすら): earnestly<br>一息(ひといき): puffy, a breath, a pause, an effort<br>一頃(ひところ): once, some time ago<br>一筋(ひとすき): a line, earnestly, blindly, straightforwardly<br>一まず(ひとまず): for the present, once, in outline<br>一人でに(ひとりでに): by itself, automatically, naturally<br>一応(いちおう): once, tentatively, in outline, for the time being<br>一時(いちじ): one hour, short time, once, temporarily, at one time<br>一段と(いちだんと): greater, more, further, still more<br>一度に(いちどに): all at once<br>一流(いちりゅう): foremost, top-notch, unique<br>一家(いっか): house, home, a family, a household, one´s family, one´s folks, a style<br>一昨日(いっさくじつ): day before yesterday<br>一昨年(いっさくねん): year before last<br>一種(いっしゅ): species, kind, variety<br>一瞬(いっしゅん): moment, instant<br>一生(いっしょう): lifetime, all through life, generation, age, era, the whole world<br>一斉(いっせい): simultaneous<br>一層(いっそう): much more, still more, all the more<br>一体(いったい): one object, one body, generally, what on earth? really?<br>一旦(いったん): once, for a moment, one morning, temporarily<br>一致(いっち): coincidence, agreement, union, match, conformity, consistency, cooperation<br>一定(いってい): fixed, settled, definite, uniform, regularized, standardized, prescribed<br>一般(いっぱん): general, universal, ordinary, average, liberal<br>一方(いっぽう): one side, one way, one direction, one party, the other party, on the other hand, meanwhile, only, simple, in turn<br>統一(とういつ): unity, consolidation, uniformity, unification, compatible<br>同一(どういつ): identity, sameness, similarity, equality, fairness<br>一言(ひとこと): single word<br>一通り(ひととおり): ordinary, usual, in general, briefly<br>一休み(ひとやすみ): rest<br>一人一人(ひとりひとり): one by one, each, one at a time<br>万一(まんいち): by some chance, by some possibility, if by any chance, 10,000:1 odds<br>唯一(ゆいいつ): only, sole, unique<br>一度(いちど): once, one time<br>一生懸命(いっしょうけんめい): as well as one can, as hard as one can<br>一(いち): one<br>一日(いちにち): first of month<br>一番(いちばん): best, first, number one, a game, a round, a bout, a fall, an event (in a meet)<br>一緒(いっしょ): together, meeting, company<br>一日(ついたち): first day of month<br>一つ(ひとつ): one<br>一月(ひとつき): one month<br>一人(ひとり): one person","一度 (いちど), 一座 (いちざ), 第一 (だいいち), 一 (ひと), 一つ (ひと.つ)",한 일
2,二,,Two lines.,"Roman numeral II, written on its side.",ニ、ジ,ふた、ふた.つ、ふたた.び,"二人(ににん): two persons, two people, pair, couple<br>真っ二つ(まっぷたつ): in two equal parts<br>二(に): two<br>二十歳(はたち): 20 years old, 20th year<br>二十日(はつか): twenty days, twentieth day of the month<br>二つ(ふたつ): two<br>二人(ふたり): two persons, two people, pair, couple<br>二日(ふつか): second day of the month, two days","二 (ふた), 二つ (ふた.つ)",두 이
3,三,,One + two = three.,"THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.",サン、ゾウ,み、み.つ、みっ.つ,"三味線(さみせん): three-stringed Japanese guitar, shamisen<br>三(み): (num) three<br>三日月(みかずき): new moon, crescent moon<br>再三(さいさん): again and again, repeatedly<br>三角(さんかく): triangle, triangular<br>三日月(みかづき): new moon, crescent moon<br>三日(みっか): three days, the third day (of the month)<br>三(さん): three<br>三つ(みっつ): three","三 (み), 三つ (み.つ), 三つ (みっ.つ)",석 삼
4,四,,FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.,"I imagine a giant devouring a human in four bites. First the giant bites off the person´s head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?",シ,よ、よ.つ、よっ.つ、よん,"四角(しかく): square<br>四角い(しかくい): square<br>四季(しき): four seasons<br>四捨五入(ししゃごにゅう): rounding up (especially fractions)<br>四つ角(よつかど): four corners, crossroads<br>四(よん): four, fourth, quadruple<br>四(し): four<br>四日(よっか): fourth day of the month, four days<br>四つ(よっつ): four","四 (よ), 四つ (よ.つ), 四つ (よっ.つ), 四 (よん)",넉 사
5,五,,三 + two vertical lines = 5.,"This Kanji looks like a ""3"" Kanji with two added vertical lines. 3+2= 5.",ゴ,いつ、いつ.つ,"五月蝿い(うるさい): noisy, loud, fussy<br>五十音(ごじゅうおん): the Japanese syllabary<br>四捨五入(ししゃごにゅう): rounding up (especially fractions)<br>五日(いつか): five days, the fifth day (of the month)<br>五つ(いつつ): five<br>五(ご): five","五 (いつ), 五つ (いつ.つ)",다섯 오
6,六,,"Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.",Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.,ロク、リク,む、む.つ、むっ.つ、むい,"六(む): (num) six<br>六日(むいか): six days, sixth (day of month)<br>六つ(むっつ): six<br>六(ろく): six","六 (む), 六つ (む.つ), 六つ (むっ.つ)",여섯 륙(육)
7,七,"* As a primitive, this form takes on the meaning of <i>diced</i>, i.e., ""cut"" into little pieces, consistent both with the way the character is written and with its association with the kanji for <i>cut</i> to be learned in a later lesson (Frame 89).","This kanji is our good old seven, turned upside down.",I wrote it upside down so I crossed it out.,シチ,なな、なな.つ、なの,"七日(なのか): seven days, the seventh day (of the month)<br>七(しち): seven<br>七つ(ななつ): seven<br>七日(なのか): seven days, the seventh day of the month","七 (なな), 七つ (なな.つ)",일곱 칠
8,八,,"Hachi (eight) begins with the sound of the katakana ""ha"", and it´s approximately the same character.",The valcano hasn´t erupted for 8 years.,ハチ,や、や.つ、やっ.つ、よう,"お八(おやつ): (uk) between meal snack, afternoon refreshment, afternoon tea, mid-day snack<br>八(はち): eight<br>八百屋(やおや): greengrocer<br>八つ(やっつ): eight<br>八日(ようか): eight days, the eighth (day of the month)","八 (や), 八つ (や.つ), 八つ (やっ.つ)",여덟 팔
9,九,"* As a primitive, we shall use this kanji to mean <i>baseball team</i> or simply <i>baseball</i>. The meaning, of course, is derived from the <i>nine</i> players who make up a team.",Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 　一＋八＝九.,"Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.",キュウ、ク,ここの、ここの.つ,"九(く): nine<br>九(きゅう): nine<br>九日(ここのか): nine days, the ninth day (of the month)<br>九つ(ここのつ): nine","九百 (きゅうひゃく), 三拝九拝 (さんはいきゅうはい), 九 (ここの), 九つ (ここの.つ)",아홉 구
10,十,"* As a primitive, this character sometimes keeps its meaning of <i>ten</i> and sometimes signifies <i>needle</i>, this latter derived from the kanji for <i>needle</i> (Frame 292). Since the primitive is used in the kanji itself, there is no need to worry about confusing the two. In fact, we shall be following this procedure regularly.","Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).",I scared away ten vampires with a single cross!,ジュウ、ジッ、ジュッ,とお、と,"十分(じっぷん): 10 minutes<br>十字路(じゅうじろ): crossroads<br>五十音(ごじゅうおん): the Japanese syllabary<br>十分(じゅうぶん): enough<br>十(じゅう): 10, ten<br>十(とお): 10, ten<br>十日(とおか): ten days, the tenth day of the month<br>二十歳(はたち): 20 years old, 20th year<br>二十日(はつか): twenty days, twentieth day of the month","十字架 (じゅうじか), 十文字 (じゅうもんじ), 十 (と), 十 (とお)",열 십
